what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739797601
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739797747
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739802217
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1460739804446
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1460739804467
started,bundle,org.eclipse.ant.ui,3.5.300.dist,"org.eclipse.ant.ui",1460739804497
started,bundle,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console",1460739804515
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739805221
executed,command,org.eclipse.ui.externaltools,3.2.100.dist,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1460739807129
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739807182
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739808738
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739811736
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739811780
